Attendance Date,1,2,3,4,5
1-Feb-23,P,,,,
17-Feb-23,P,P,P,P,P
16-Feb-23,P,P,P,A,A
15-Feb-23,,,,P,P
14-Feb-23,,,,P,P
13-Feb-23,,,,P,P
11-Feb-23,,,,P,P
2/P/2023,,,,P,P
2/A/2023,,,,P,P
2//2023,P,P,P,P,P
7-Feb-23,P,P,P,P,P
6-Feb-23,A,A,A,A,A
3-Feb-23,P,P,P,P,P
2-Feb-23,P,P,P,P,P
1-Feb-23,P,P,P,A,A
31-Jan-23,A,A,A,A,A
30-Jan-23,P,P,P,P,P
2-Jan-23,P,P,P,A,A
25-Jan-23,P,P,P,P,P
24-Jan-23,P,P,P,P,P
23-Jan-23,A,A,A,A,A
21-Jan-23,P,P,P,A,A
20-Jan-23,P,P,P,P,P
1/1A/2023,P,P,P,P,P
1-Jan-23,P,P,P,P,P
13-Jan-23,P,P,P,,
12-Jan-23,P,P,P,P,P
11-Jan-23,P,P,P,P,P
1/P/2023,P,P,P,P,P
1/A/2023,P,P,P,P,P
7-Jan-23,P,P,P,P,P
6-Jan-23,P,P,P,P,P
5-Jan-23,P,P,P,P,P
23-Dec-22,,P,P,,
22-Dec-22,P,P,P,P,P
21-Dec-22,P,P,P,P,P
20-Dec-22,P,P,P,P,P
12/1A/2022,P,P,P,P,P
17-Dec-22,,P,P,P,P
16-Dec-22,,P,P,P,P
15-Dec-22,P,P,P,A,A
14-Dec-22,P,P,P,P,P
13-Dec-22,P,P,P,P,P
12-Dec-22,P,P,P,A,A
12//2022,P,P,P,P,
